unit,series,year,mark_scheme,title,url
Unit2,Summer,2022,0,"Unit 2, (With calculator) Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2022-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2022-Unit%202%2C%20%28With%20calculator%29%20Mechanics-Paper.pdf
Unit4,Summer,2022,0,"Unit 4,  (With calculator) Discrete and Decision Mathematics ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2022-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2022-Unit%204%2C%20%20%28With%20calculator%29%20Discrete%20and%20Decision%20Mathematics%20-Paper.pdf
Unit1,Summer,2022,0,"Unit 1, (With calculator) Pure Mathematics  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2022-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2022-Unit%201%2C%20%28With%20calculator%29%20Pure%20Mathematics%20%20-Paper.pdf
Unit4,Summer,2021,1,"Unit 4, Discrete and Decision Mathematics ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%204%2C%20Discrete%20and%20Decision%20Mathematics%20-MS.pdf
Unit4,Summer,2021,0,"Unit 4, Discrete and Decision Mathematics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%204%2C%20Discrete%20and%20Decision%20Mathematics%20%28With%20calculator%29-Paper.pdf
Unit3,Summer,2021,1,"Unit 3, Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%203%2C%20Statistics-MS.pdf
Unit3,Summer,2021,0,"Unit 3, Statistics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%203%2C%20Statistics%20%28With%20calculator%29-Paper.pdf
Unit2,Summer,2021,1,"Unit 2, Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%202%2C%20Mechanics-MS.pdf
Unit2,Summer,2021,0,"Unit 2, Mechanics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%202%2C%20Mechanics%20%28With%20calculator%29-Paper.pdf
Unit1,Summer,2021,1,"Unit 1, Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%201%2C%20Pure%20Mathematics-MS.pdf
Unit1,Summer,2021,0,"Unit 1, Pure Mathematics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2021-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2021-Unit%201%2C%20Pure%20Mathematics%20%28With%20calculator%29-Paper.pdf
Unit1,Summer,2019,0,"Unit 1, Pure Mathematics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%201%2C%20Pure%20Mathematics%20%28With%20calculator%29-Paper.pdf
Unit1,Summer,2018,1,"Unit 1, Pure Mathematics (With calculator) (MS)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2018-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2018-Unit%201%2C%20Pure%20Mathematics%20%28With%20calculator%29%20%28MS%29-MS.pdf
Unit1,Summer,2018,0,"Unit 1, Pure Mathematics (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2018-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2018-Unit%201%2C%20Pure%20Mathematics%20%28With%20calculator%29-Paper.pdf
Unit4,Summer,2019,1,"Unit 4, Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%204%2C%20Discrete%20and%20Decision%20Mathematics-MS.pdf
Unit4,Summer,2019,0,"Unit 4, Discrete and Decision Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%204%2C%20Discrete%20and%20Decision%20Mathematics-Paper.pdf
Unit3,Summer,2019,1,"Unit 3, Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%203%2C%20Statistics-MS.pdf
Unit3,Summer,2019,0,"Unit 3, Statistics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%203%2C%20Statistics-Paper.pdf
Unit2,Summer,2019,1,"Unit 2, Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%202%2C%20Mechanics-MS.pdf
Unit2,Summer,2019,0,"Unit 2, Mechanics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%202%2C%20Mechanics-Paper.pdf
Unit1,Summer,2019,1,"Unit 1, Pure Mathematics",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Further%20Mathematics%20%282017%29/2019-Summer/Standard/0/GCSE-Further%20Mathematics-507-Summer2019-Unit%201%2C%20Pure%20Mathematics-MS.pdf
