unit,series,year,tier,mark_scheme,title,url
M6-P1,November,2024,F,0,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-Paper.pdf
M5-P1,November,2024,F,0,"Foundation Tier, M5: Paper 1 (Non-Calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-Calculator%29-Paper.pdf
M5-P2,November,2024,F,0,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M4,November,2024,H,0,"Higher Tier, M4: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Higher%20Tier%2C%20M4%3A%20%28With%20calculator%29-Paper.pdf
M3,November,2024,H,0,"Higher Tier, M3: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Higher%20Tier%2C%20M3%3A%20%28With%20calculator%29-Paper.pdf
M2,November,2024,F,0,"Foundation Tier, M2: (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Foundation%20Tier%2C%20M2%3A%20%28With%20calculator%29%20-Paper.pdf
M1,November,2024,F,0,"Foundation Tier, M1 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-November/Standard/0/GCSE-Mathematics%20-504-November2024-Foundation%20Tier%2C%20M1%20%28With%20calculator%29-Paper.pdf
M6-P2,Summer,2024,F,1,"Foundation Tier, M6: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M6%3A%20Paper%202%20%28With%20calculator%29-MS_0.pdf
M8-P2,Summer,2024,H,1,"Higher Tier, M8: Paper 2 (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M8%3A%20Paper%202%20%28With%20calculator%29%20-MS.pdf
M8-P1,Summer,2024,H,1,"Higher Tier, M8: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M8%3A%20Paper%201%20%28Non-calculator%29-MS.pdf
M7-P2,Summer,2024,H,1,"Higher Tier, M7: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M7%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M7-P1,Summer,2024,H,1,"Higher Tier, M7: Paper 1 (Non-calculator)  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M7%3A%20Paper%201%20%28Non-calculator%29%20%20-MS.pdf
M6-P1,Summer,2024,F,1,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-MS.pdf
M5-P2,Summer,2024,F,1,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M5-P1,Summer,2024,F,1,"Foundation Tier, M5: Paper 1 (Non-Calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-Calculator%29-MS.pdf
M4,Summer,2024,H,1,"Higher Tier, M4: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M4%3A%20%28With%20calculator%29-MS.pdf
M3,Summer,2024,H,1,"Higher Tier, M3: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M3%3A%20%28With%20calculator%29-MS.pdf
M2,Summer,2024,F,1,"Foundation Tier, M2: (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M2%3A%20%28With%20calculator%29%20-MS.pdf
M1,Summer,2024,F,1,"Foundation Tier, M1 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M1%20%28With%20calculator%29-MS.pdf
M8-P2,Summer,2024,H,0,"Higher Tier, M8: Paper 2 (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M8%3A%20Paper%202%20%28With%20calculator%29%20-Paper.pdf
M8-P1,Summer,2024,H,0,"Higher Tier, M8: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M8%3A%20Paper%201%20%28Non-calculator%29-Paper.pdf
M7-P2,Summer,2024,H,0,"Higher Tier, M7: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M7%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M7-P1,Summer,2024,H,0,"Higher Tier, M7: Paper 1 (Non-calculator)  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M7%3A%20Paper%201%20%28Non-calculator%29%20%20-Paper.pdf
M6-P2,Summer,2024,F,0,"Foundation Tier, M6: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M6%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M6-P1,Summer,2024,F,0,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-Paper.pdf
M5-P2,Summer,2024,F,0,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M5-P1,Summer,2024,F,0,"Foundation Tier, M5: Paper 1 (Non-Calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-Calculator%29-Paper.pdf
M1,Summer,2024,F,0,"Foundation Tier, M1 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M1%20%28With%20calculator%29-Paper.pdf
M4,Summer,2024,H,0,"Higher Tier, M4: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M4%3A%20%28With%20calculator%29-Paper.pdf
M3,Summer,2024,H,0,"Higher Tier, M3: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Higher%20Tier%2C%20M3%3A%20%28With%20calculator%29-Paper.pdf
M2,Summer,2024,F,0,"Foundation Tier, M2: (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2024-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2024-Foundation%20Tier%2C%20M2%3A%20%28With%20calculator%29%20-Paper.pdf
M8-P2,November,2023,H,1,"Higher Tier, M8: Paper 2 (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M8%3A%20Paper%202%20%28With%20calculator%29%20-MS.pdf
M8-P1,November,2023,H,1,"Higher Tier, M8: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M8%3A%20Paper%201%20%28Non-calculator%29-MS.pdf
M7-P2,November,2023,H,1,"Higher Tier, M7: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M7%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M7-P1,November,2023,H,1,"Higher Tier, M7: Paper 1 (Non-calculator)  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M7%3A%20Paper%201%20%28Non-calculator%29%20%20-MS.pdf
M6-P2,November,2023,F,1,"Foundation Tier, M6: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M6%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M6-P1,November,2023,F,1,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-MS.pdf
M5-P2,November,2023,F,1,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M5-P1,November,2023,F,1,"Foundation Tier, M5: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-calculator%29-MS.pdf
M4,November,2023,H,1,"Higher Tier, M4: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M4%3A%20%28With%20calculator%29-MS.pdf
M3,November,2023,H,1,"Higher Tier, M3: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M3%3A%20%28With%20calculator%29-MS.pdf
M2,November,2023,F,1,"Foundation Tier, M2: (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M2%3A%20%28With%20calculator%29%20-MS.pdf
M1,November,2023,F,1,"Foundation Tier, M1 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M1%20%28With%20calculator%29-MS.pdf
M6-P2,November,2023,F,0,"Foundation Tier, M6: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M6%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M8-P2,November,2023,H,0,"Higher Tier, M8: Paper 2 (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M8%3A%20Paper%202%20%28With%20calculator%29%20-Paper.pdf
M7-P2,November,2023,H,0,"Higher Tier, M7: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M7%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M7-P1,November,2023,H,0,"Higher Tier, M7: Paper 1 (Non-calculator)  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M7%3A%20Paper%201%20%28Non-calculator%29%20%20-Paper.pdf
M8-P1,November,2023,H,0,"Higher Tier, M8: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M8%3A%20Paper%201%20%28Non-calculator%29-Paper.pdf
M6-P1,November,2023,F,0,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-Paper.pdf
M5-P2,November,2023,F,0,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-Paper.pdf
M5-P1,November,2023,F,0,"Foundation Tier, M5: Paper 1 (Non-Calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-Calculator%29-Paper.pdf
M3,November,2023,H,0,"Higher Tier, M3: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M3%3A%20%28With%20calculator%29-Paper.pdf
M2,November,2023,F,0,"Foundation Tier, M2: (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M2%3A%20%28With%20calculator%29%20-Paper.pdf
M1,November,2023,F,0,"Foundation Tier, M1 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Foundation%20Tier%2C%20M1%20%28With%20calculator%29-Paper.pdf
M4,November,2023,H,0,"Higher Tier, M4: (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-November/Standard/0/GCSE-Mathematics%20-504-November2023-Higher%20Tier%2C%20M4%3A%20%28With%20calculator%29-Paper.pdf
M8-P2,Summer,2023,H,1,"Higher Tier, M8: Paper 2 (With calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Higher%20Tier%2C%20M8%3A%20Paper%202%20%28With%20calculator%29%20-MS.pdf
M8-P1,Summer,2023,H,1,"Higher Tier, M8: Paper 1 (Non-calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Higher%20Tier%2C%20M8%3A%20Paper%201%20%28Non-calculator%29-MS.pdf
M7-P2,Summer,2023,H,1,"Higher Tier, M7: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Higher%20Tier%2C%20M7%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M7-P1,Summer,2023,H,1,"Higher Tier, M7: Paper 1 (Non-calculator)  ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Higher%20Tier%2C%20M7%3A%20Paper%201%20%28Non-calculator%29%20%20-MS.pdf
M6-P2,Summer,2023,F,1,"Foundation Tier, M6: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Foundation%20Tier%2C%20M6%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M6-P1,Summer,2023,F,1,"Foundation Tier, M6: Paper 1 (Non-calculator) ",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Foundation%20Tier%2C%20M6%3A%20Paper%201%20%28Non-calculator%29%20-MS.pdf
M5-P2,Summer,2023,F,1,"Foundation Tier, M5: Paper 2 (With calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Foundation%20Tier%2C%20M5%3A%20Paper%202%20%28With%20calculator%29-MS.pdf
M5-P1,Summer,2023,F,1,"Foundation Tier, M5: Paper 1 (Non-Calculator)",https://ccea.org.uk/downloads/docs/Past-Papers/cleared/GCSE/GCSE%20Mathematics%20%282017%29/2023-Summer/Standard/0/GCSE-Mathematics%20-504-Summer2023-Foundation%20Tier%2C%20M5%3A%20Paper%201%20%28Non-Calculator%29-MS.pdf
